name,price,capacity,price_per_gb,type,form_factor,interface
Seagate SkyHawk AI,314.99,16000,0.02,7200,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,213.95,8000,0.027,7200,3.5,SATA 6.0 Gb/s
Toshiba N300 Pro,254.99,12000,0.021,7200,3.5,SATA 6.0 Gb/s
Lexar NQ100,,480,,SSD,2.5,SATA 6.0 Gb/s
Fantom Drives VENOM8,88.95,1000,0.089,SSD,M.2-2280,M.2 PCIe 4.0 X4
OCZ Colossus 2,995,460,2.163,SSD,3.5,SATA 3.0 Gb/s
Hitachi Deskstar 7K1000.D,498,500,0.996,7200,3.5,SATA 6.0 Gb/s
Crucial M550,,128,,SSD,2.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC520,299.99,12000,0.025,7200,3.5,SATA 6.0 Gb/s
Western Digital Blue SN550,249.99,2000,0.125,SSD,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Delta Max RGB Lite,45.99,512,0.09,SSD,2.5,SATA 6.0 Gb/s
Toshiba N300,162.99,4000,0.041,7200,3.5,SATA 6.0 Gb/s
Toshiba L200,46.17,1000,0.046,5400,2.5,SATA 6.0 Gb/s
Inland TN320,84.99,2000,0.042,SSD,M.2-2280,M.2 PCIe 3.0 X4
Hitachi 7K2000,,2000,,7200,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,29,160,0.181,7200,3.5,SATA 3.0 Gb/s
Seagate 600,135,240,0.562,SSD,2.5,SATA 6.0 Gb/s
Seagate Archive HDD v2,,6000,,5900,3.5,SATA 6.0 Gb/s
Western Digital Gold,249.45,10000,0.025,7200,3.5,SATA 6.0 Gb/s
Western Digital Purple,79.99,3000,0.027,5400,3.5,SATA 6.0 Gb/s
Corsair MP300,,960,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Barracuda Compute,,2000,,SSD,2.5,SATA 6.0 Gb/s
Micron 5200 Ion,995,7680,0.13,SSD,2.5,SATA 6.0 Gb/s
ADATA Falcon,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Integral M,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Kingston DC1500M,243.32,3840,0.063,SSD,2.5,U.2
KIOXIA EXCERIA PLUS,,500,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Verbatim Vi560,59.4,1000,0.059,SSD,M.2-2280,M.2 SATA
Western Digital Caviar Blue,,500,,7200,3.5,SATA 6.0 Gb/s
Western Digital Caviar Green,175.77,1500,0.117,5400,3.5,SATA 3.0 Gb/s
Western Digital Scorpio Blue,,120,,5400,2.5,SATA 3.0 Gb/s
Hitachi A7K1000-750,37.72,750,0.05,7200,3.5,SATA 3.0 Gb/s
Seagate Barracuda ES,56.05,1000,0.056,7200,3.5,SATA 3.0 Gb/s
Seagate SV35.5,32.99,500,0.066,5900,3.5,SATA 3.0 Gb/s
Western Digital RE4,42.99,500,0.086,7200,3.5,SATA 3.0 Gb/s
Transcend Transcend SLC,,16,,SSD,2.5,SATA 1.5 Gb/s
OCZ Vertex 3,,120,,SSD,2.5,SATA 6.0 Gb/s
Western Digital Scorpio Black,58.49,500,0.117,7200,2.5,SATA 3.0 Gb/s
Seagate Constellation ES,,2000,,7200,3.5,SATA 6.0 Gb/s
Toshiba MK1002TSKB,,1000,,7200,3.5,SATA 3.0 Gb/s
Seagate Momentus 7200.4,19.98,500,0.04,7200,2.5,SATA 3.0 Gb/s
Hitachi Travelstar 5K1000,,1000,,5400,2.5,SATA 6.0 Gb/s
OCZ Vertex 3,,240,,SSD,3.5,SATA 6.0 Gb/s
OCZ RevoDrive,,110,,SSD,PCIe,PCIe x4
SanDisk ReadyCache,,32,,SSD,2.5,SATA 6.0 Gb/s
Lenovo 0A65633,39.99,1000,0.04,5400,2.5,SATA 3.0 Gb/s
Samsung 840 Evo,,750,,SSD,2.5,SATA 6.0 Gb/s
Samsung 840 Evo,,250,,SSD,2.5,SATA 6.0 Gb/s
ADATA Premier Pro SP600,,256,,SSD,2.5,SATA 6.0 Gb/s
Kingston SSDNow E100,,200,,SSD,2.5,SATA 6.0 Gb/s
HP 628065-B21,,3000,,7200,3.5,SATA 6.0 Gb/s
SanDisk EXTREME PRO,,240,,SSD,2.5,SATA 6.0 Gb/s
Western Digital Red,,5000,,5400,3.5,SATA 6.0 Gb/s
Seagate Enterprise,,6000,,7200,3.5,SATA 6.0 Gb/s
Kingston SSDNow V310,300,960,0.312,SSD,2.5,SATA 6.0 Gb/s
SK Hynix SH910A,,128,,SSD,2.5,SATA 6.0 Gb/s
Plextor M6e Black Edition,,256,,SSD,PCIe,PCIe x4
Seagate Archive HDD v2,,5000,,5900,3.5,SATA 6.0 Gb/s
Kingston Predator,,240,,SSD,PCIe,PCIe x4
Kingston Savage,,240,,SSD,2.5,SATA 6.0 Gb/s
OCZ Trion 100,,240,,SSD,2.5,SATA 6.0 Gb/s
Toshiba Q300,,480,,SSD,2.5,SATA 6.0 Gb/s
Crucial BX200,251.99,960,0.262,SSD,2.5,SATA 6.0 Gb/s
Kingston SSDNow UV400,,960,,SSD,2.5,SATA 6.0 Gb/s
OCZ RD400A,,1000,,SSD,PCIe,PCIe x4
Western Digital Green,,120,,SSD,2.5,SATA 6.0 Gb/s
Crucial BX300,64.98,240,0.271,SSD,2.5,SATA 6.0 Gb/s
Toshiba XG5,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Hitachi Ultrastar He10,,10000,,7200,3.5,SATA 6.0 Gb/s
TEAMGROUP L5 LITE 3D,,240,,SSD,2.5,SATA 6.0 Gb/s
Intel 760p,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte GP-GSM2NE8128GNTD,,128,,SSD,M.2-2280,M.2 PCIe 3.0 X2
ADATA SU655,,120,,SSD,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,150,4000,0.037,7200,3.5,SATA 6.0 Gb/s
Seagate 1200.2,,3200,,SSD,2.5,SAS 12.0 Gb/s
Seagate Enterprise Performance,,900,,15000,2.5,SAS 12.0 Gb/s
Lexar NS100,,240,,SSD,2.5,SATA 6.0 Gb/s
Kingston KC2000,,250,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Barracuda Compute,,1000,,SSD,2.5,SATA 6.0 Gb/s
Western Digital Purple,253,10000,0.025,7200,3.5,SATA 6.0 Gb/s
Transcend 110S,50.77,1000,0.051,SSD,M.2-2280,M.2 PCIe 3.0 X4
Intel DC S3610,406.15,1600,0.254,SSD,2.5,SATA 6.0 Gb/s
Intel DC P4510,388.67,4000,0.097,SSD,2.5,U.2
Seagate FireCuda 510,,250,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Pioneer APS-SE20G-1T,179.71,1000,0.18,SSD,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG GAMMIX S50,,1000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Lenovo 4XB0W79580,35,256,0.137,SSD,M.2-2280,M.2 PCIe 3.0 X4
Biostar M700,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos 7E8,129.99,4000,0.032,7200,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar,78.98,240,0.329,SSD,2.5,SATA 6.0 Gb/s
Transcend TS8GPSD520,,8,,SSD,2.5,PATA 44-Pin 100
TEAMGROUP T-Create Expert,,2000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Addlink S95,,1000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Addlink S90,,2000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
PNY XLR8 CS3140 w/Heatsink,499,4000,0.125,SSD,M.2-2280,M.2 PCIe 4.0 X4
Verbatim Vi3000,131.06,2000,0.066,SSD,M.2-2280,M.2 PCIe 3.0 X4
HP S650,,480,,SSD,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar He8,,8000,,7200,3.5,SATA 6.0 Gb/s
Fastro MS200,,2000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
ADATA LEGEND 800 GOLD,,2000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Netac NV5000,,2000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM700,,1000,,SSD,2.5,SATA 6.0 Gb/s
GeIL Zenith P4L,,1000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MD07ACA,,14,,7200,3.5,SATA 6.0 Gb/s
Nextorage NE5N,169.99,1000,0.17,SSD,M.2-2280,M.2 PCIe 5.0 X4
Sabrent Rocket 4.0,59.99,512,0.117,SSD,M.2-2230,M.2 PCIe 4.0 X4
Toshiba S300 Pro,280,10000,0.028,7200,3.5,SATA 6.0 Gb/s
Toshiba X300,,10000,,7200,3.5,SATA 6.0 Gb/s
Western Digital Red SA500,149.99,2000,0.075,SSD,M.2-2280,M.2 SATA
TEAMGROUP T-Create Classic,138.99,2000,0.069,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf NAS,,18000,,7200,3.5,SATA 6.0 Gb/s
Toshiba X300,189.99,4000,0.047,7200,3.5,SATA 6.0 Gb/s
Western Digital RE,127.37,6000,0.021,7200,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,260,10000,0.026,7200,3.5,SATA 6.0 Gb/s
HP EX950,70.98,512,0.139,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate SkyHawk Surveillance,114.99,3000,0.038,5900,3.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,129.37,4000,0.032,7200,3.5,SATA 6.0 Gb/s
Toshiba X300 Pro,147.99,6000,0.025,7200,3.5,SATA 6.0 Gb/s
Toshiba X300,301.99,8000,0.038,7200,3.5,SATA 6.0 Gb/s
Mushkin Enhanced ECO,44.99,1000,0.045,SSD,2.5,SATA 6.0 Gb/s
Hitachi Travelstar Z5K500,150,500,0.3,5400,2.5,SATA 3.0 Gb/s
Seagate ST1000NX0313,64.98,1000,0.065,7200,2.5,SATA 6.0 Gb/s
Inland Platinum,449.99,4000,0.112,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Game Drive,69.95,1000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Constellation ES,,2000,,7200,3.5,SATA 3.0 Gb/s
Seagate Constellation.2,,500,,7200,2.5,SATA 6.0 Gb/s
Western Digital SE,99.58,4000,0.025,7200,3.5,SATA 6.0 Gb/s
Western Digital AV-25,,500,,5400,2.5,SATA 6.0 Gb/s
Seagate Momentus SpinPoint,,2000,,5400,2.5,SATA 6.0 Gb/s
Seagate ST320LM010,16.98,320,0.053,7200,2.5,SATA 6.0 Gb/s
Toshiba X300,234.99,12000,0.02,7200,3.5,SATA 6.0 Gb/s
Seagate IronWolf 525,179.99,1000,0.18,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos 7E10 512e/4Kn,142.49,2000,0.071,7200,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,239.99,10000,0.024,7200,3.5,SATA 6.0 Gb/s
Western Digital WDBMYH0010BNC-NRSN,35,1000,0.035,5400,2.5,SATA 3.0 Gb/s
Crucial M550,177.77,128,1.389,SSD,M.2-2280,M.2 SATA
Intel 750,,800,,SSD,PCIe,PCIe x4
Toshiba X300,300,6000,0.05,7200,3.5,SATA 6.0 Gb/s
Corsair MP300,,120,,SSD,M.2-2280,M.2 PCIe 3.0 X2
Seagate Nytro Enterprise,1499.99,1920,0.781,SSD,2.5,SAS 12.0 Gb/s
Patriot VPN100,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MQ04ABD200,74.87,2000,0.037,5400,2.5,SATA 6.0 Gb/s
Seagate IronWolf 510,,1920,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Kingston DC1000B,130.92,960,0.136,SSD,M.2-2280,M.2 PCIe 3.0 X4
Toshiba N300 Pro,244.99,10000,0.024,7200,3.5,SATA 6.0 Gb/s
Verbatim Vi560,43.63,512,0.085,SSD,M.2-2280,M.2 SATA
Verbatim Vi3000,236,1000,0.236,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital SN520,,128,,SSD,M.2-2280,M.2 PCIe 3.0 X2
Hitachi Ultrastar He8,325,8000,0.041,7200,3.5,SATA 6.0 Gb/s
Intel D3-S4610,547.93,3800,0.144,SSD,2.5,SATA 6.0 Gb/s
Netac NV5000-t,48.99,500,0.098,SSD,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Black,,2000,,7200,3.5,SATA 3.0 Gb/s
Hitachi 7K1000.C,95.33,250,0.381,7200,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F2 EG,,1000,,5400,3.5,SATA 3.0 Gb/s
Seagate BarraCuda,,160,,7200,3.5,PATA 100
Western Digital Caviar Blue,39.99,320,0.125,7200,3.5,SATA 6.0 Gb/s
Seagate Barracuda Green,,1500,,5900,3.5,SATA 6.0 Gb/s
Toshiba MK5061GSYN,55,500,0.11,7200,2.5,SATA 3.0 Gb/s
Toshiba MK2576GSX,26.49,250,0.106,5400,2.5,SATA 3.0 Gb/s
Samsung 470,,128,,SSD,2.5,SATA 3.0 Gb/s
Seagate SV35.5,,3000,,7200,3.5,SATA 6.0 Gb/s
Western Digital AV-GP,29.87,320,0.093,5400,3.5,SATA 3.0 Gb/s
ADATA Premier Pro SP600,,128,,SSD,2.5,SATA 6.0 Gb/s
Samsung ST750LM022/HN-M750MBB,,750,,5400,2.5,SATA 3.0 Gb/s
Western Digital Green,,2000,,5900,2.5,SATA 6.0 Gb/s
Hitachi Travelstar Z5K500,27.99,500,0.056,5400,2.5,SATA 3.0 Gb/s
Corsair Force LS,,120,,SSD,2.5,SATA 6.0 Gb/s
Corsair Force LS,,240,,SSD,2.5,SATA 6.0 Gb/s
Crucial M550,,256,,SSD,2.5,SATA 6.0 Gb/s
Seagate STCL2000400,,2000,,,3.5,SATA 6.0 Gb/s
Samsung Spinpoint M9T,,2000,,5400,2.5,SATA 6.0 Gb/s
MyDigitalSSD Super Boot Drive,,16,,SSD,M.2-2242,M.2 SATA
Seagate Enterprise NAS,239,5000,0.048,7200,3.5,SATA 6.0 Gb/s
Samsung SM951,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Kingston Savage,,960,,SSD,2.5,SATA 6.0 Gb/s
Intel 535,148.71,240,0.62,SSD,2.5,SATA 6.0 Gb/s
Samsung MZVPV128HDGM-00000,,128,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Patriot Blast,,120,,SSD,2.5,SATA 6.0 Gb/s
SanDisk Z400s,142,128,1.109,SSD,M.2-2280,M.2 SATA
Western Digital Gold,244.45,6000,0.041,7200,3.5,SATA 6.0 Gb/s
Samsung SM961,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,,1000,,7200,3.5,SATA 6.0 Gb/s
Seagate ST3808110AS,,80,,7200,3.5,SATA 3.0 Gb/s
TEAMGROUP L5 LITE,,120,,SSD,2.5,SATA 6.0 Gb/s
Western Digital Red Pro,255.48,4000,0.064,7200,3.5,SATA 6.0 Gb/s
Corsair Neutron NX500,,1600,,SSD,PCIe,PCIe x4
TEAMGROUP L5 LITE 3D,,1000,,SSD,2.5,SATA 6.0 Gb/s
Mushkin PILOT,,500,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP300,,240,,SSD,M.2-2280,M.2 PCIe 3.0 X2
Toshiba X300,399.99,14000,0.029,7200,3.5,SATA 6.0 Gb/s
TEAMGROUP GX1,,960,,SSD,2.5,SATA 6.0 Gb/s
Mushkin Pilot-E,48.51,500,0.097,SSD,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Gold S31 250,,250,,SSD,2.5,SATA 6.0 Gb/s
Kingston KC2500,,2000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Inland Professional,,2000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Angelbird Wings MX2,,2000,,SSD,PCIe,PCIe x2
ADATA XPG GAMMIX S7,,2000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
ADATA ATOM 50,,2000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Kingston DC1000B,78.26,240,0.326,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Ultrastar DC HC550,,18000,,7200,3.5,SATA 6.0 Gb/s
HP S700 Pro,79.98,512,0.156,SSD,2.5,SATA 6.0 Gb/s
Toshiba X300,262.98,6000,0.044,7200,3.5,SATA 6.0 Gb/s
Toshiba X300,447,12000,0.037,7200,3.5,SATA 6.0 Gb/s
Toshiba XG6,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital easystore,29.48,240,0.123,SSD,2.5,SATA 6.0 Gb/s
MSI SPATIUM S270,,120,,SSD,2.5,SATA 6.0 Gb/s
MSI SPATIUM M460,,2000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Netac NV5000,,1000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM760,,2000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Micron 2300,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X22,,20000,,7200,3.5,SATA 6.0 Gb/s
Patriot Viper VP4300 Lite,41.99,500,0.084,SSD,M.2-2280,M.2 PCIe 4.0 X4
Klevv CRAS C930,,1000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Toshiba N300,,8000,,7200,3.5,SATA 6.0 Gb/s
Neo Forza NFS10,39.99,960,0.042,SSD,2.5,SATA 6.0 Gb/s
Seagate Game Drive,174.99,2000,0.087,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf,190,6000,0.032,7200,3.5,SATA 6.0 Gb/s
Toshiba N300,299.99,10000,0.03,7200,3.5,SATA 6.0 Gb/s
Mushkin Enhanced ECO,89.99,2000,0.045,SSD,2.5,SATA 6.0 Gb/s
Crucial M4,207.77,32,6.493,SSD,mSATA,mSATA
VisionTek Data Fusion 2-way,412.72,240,1.72,SSD,PCIe,PCIe x2
Western Digital Purple Pro,267,12000,0.022,7200,3.5,SATA 6.0 Gb/s
ADATA Legend 740,44.99,1000,0.045,SSD,M.2-2280,M.2 PCIe 3.0 X4
Western Digital SN530,28,256,0.109,SSD,M.2-2230,M.2 PCIe 3.0 X4
Intel D3-S4520,311,3840,0.081,SSD,2.5,SATA 6.0 Gb/s
Toshiba MG08ADA400E,144.88,4000,0.036,7200,3.5,SATA 6.0 Gb/s
Fantom Drives VENOM8 PS5,139.44,2000,0.07,SSD,M.2-2280,M.2 PCIe 4.0 X4
Intel X25-M,155,80,1.938,SSD,2.5,SATA 3.0 Gb/s
Western Digital Green,234.45,6000,0.039,5400,3.5,SATA 6.0 Gb/s
Intel DC P3608,,1600,,SSD,PCIe,PCIe x8
ADATA SU655,98.99,480,0.206,SSD,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar He12,334.99,12000,0.028,7200,3.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512e/4Kn,166.06,6000,0.028,7200,3.5,SATA 6.0 Gb/s
Seagate Exos 7E10 512e/4Kn,178.86,4000,0.045,7200,3.5,SATA 6.0 Gb/s
Samsung PM893,93,480,0.194,SSD,2.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,,3000,,7200,3.5,SATA 6.0 Gb/s
Western Digital Purple,87,3000,0.029,5400,3.5,SATA 6.0 Gb/s
Intel DC P3600,489.74,400,1.224,SSD,PCIe,PCIe x4
Seagate Surveillance HDD,,6000,,5400,3.5,SATA 6.0 Gb/s
Western Digital Blue,164,250,0.656,SSD,M.2-2280,M.2 SATA
Seagate SkyHawk,208.95,8000,0.026,5900,3.5,SATA 6.0 Gb/s
ADATA Ultimate SU650,197.32,960,0.206,SSD,2.5,SATA 6.0 Gb/s
Western Digital Purple,285,12000,0.024,7200,3.5,SATA 6.0 Gb/s
Kingston SSDNOW DC500R,189.99,1920,0.099,SSD,2.5,SATA 6.0 Gb/s
ADATA SU760,,1000,,SSD,2.5,SATA 6.0 Gb/s
Synology SAT5200,,1920,,SSD,2.5,SATA 6.0 Gb/s
Apacer AS2280Q4,,500,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos 7E10 512n,159.99,4000,0.04,7200,3.5,SATA 6.0 Gb/s
PNY XLR8 CS3040 w/Heatsink,,2000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
HP FX900 Pro,64.98,1000,0.065,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44,,512,,SSD,M.2-2280,M.2 PCIe 4.0 X4
VisionTek DLX4 Pro,512.23,4000,0.128,SSD,M.2-2280,M.2 PCIe 4.0 X4
Hitachi 7K1000.B,38.29,160,0.239,7200,3.5,SATA 3.0 Gb/s
Hitachi 7K1000,,1000,,7200,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F3 EG,,2000,,5400,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F3 EG,,1000,,5400,3.5,SATA 3.0 Gb/s
Samsung Spinpoint F1 DT,,750,,7200,3.5,SATA 3.0 Gb/s
Seagate Barracuda LP,,1500,,5900,3.5,SATA 3.0 Gb/s
Seagate Constellation ES,28.4,500,0.057,7200,3.5,SATA 3.0 Gb/s
OCZ Agility 3,,120,,SSD,2.5,SATA 6.0 Gb/s
Western Digital SiliconEdge Blue,,256,,SSD,2.5,SATA 3.0 Gb/s
Corsair Force GT,,60,,SSD,2.5,SATA 6.0 Gb/s
Toshiba MK6465GSX,39,640,0.061,5400,2.5,SATA 3.0 Gb/s
Kingston SSDNow V100,,32,,SSD,2.5,SATA 3.0 Gb/s
Seagate Barracuda 7200.11,,320,,7200,3.5,SATA 3.0 Gb/s
OCZ Vertex 4,,128,,SSD,2.5,SATA 6.0 Gb/s
Western Digital Raptor,,150,,10000,3.5,SATA 3.0 Gb/s
Western Digital Caviar Blue,80,750,0.107,7200,3.5,SATA 6.0 Gb/s
OCZ RevoDrive,,230,,SSD,PCIe,PCIe x4
Western Digital Green,,2000,,5400,2.5,SATA 3.0 Gb/s
OCZ Agility 3,,512,,SSD,2.5,SATA 6.0 Gb/s
Seagate Constellation CS,140,3000,0.047,7200,3.5,SATA 6.0 Gb/s
Western Digital SE,142,3000,0.047,7200,3.5,SATA 6.0 Gb/s
Western Digital Green,85,1000,0.085,5400,3.5,SATA 3.0 Gb/s
Toshiba HDD3A01,,2000,,7200,3.5,SAS 6.0 Gb/s
Seagate Constellation.2,,1000,,7200,2.5,SAS 6.0 Gb/s
OCZ Vertex 450,,512,,SSD,2.5,SATA 6.0 Gb/s
PNY Optima,,240,,SSD,2.5,SATA 6.0 Gb/s
SanDisk EXTREME PRO,199.99,480,0.417,SSD,2.5,SATA 6.0 Gb/s
Intel Pro 2500,,180,,SSD,2.5,SATA 6.0 Gb/s
Hitachi Ultrastar A7K2000,,1000,,7200,3.5,SATA 3.0 Gb/s
Hitachi Deskstar NAS,,6000,,7200,3.5,SATA 6.0 Gb/s
Crucial BX100,,120,,SSD,2.5,SATA 6.0 Gb/s
Seagate ST4000NM0034,165,4000,0.041,7200,3.5,SAS 12.0 Gb/s
Samsung XP941,,512,,SSD,M.2-2280,M.2 PCIe 2.0 X4
Micron M600,,128,,SSD,2.5,SATA 6.0 Gb/s
Micron M600,,512,,SSD,2.5,SATA 6.0 Gb/s
Patriot Blast,,240,,SSD,2.5,SATA 6.0 Gb/s
Patriot Blast,,480,,SSD,2.5,SATA 6.0 Gb/s
Transcend TS256GSSD370S,107.54,256,0.42,SSD,2.5,SATA 6.0 Gb/s
Zotac ZTSSD-A4P-120G,,120,,SSD,2.5,SATA 6.0 Gb/s
Toshiba P300,,500,,7200,3.5,SATA 6.0 Gb/s
Western Digital Blue,,5000,,5400,3.5,SATA 6.0 Gb/s
SanDisk X400,,1000,,SSD,2.5,SATA 6.0 Gb/s
Biwin CSE25A00001-512,,512,,SSD,2.5,SATA 6.0 Gb/s
Samsung PM951,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Transcend TS960GSSD220S,122.92,960,0.128,SSD,2.5,SATA 6.0 Gb/s
Micron M600,,1000,,SSD,2.5,SATA 6.0 Gb/s
Patriot Hellfire,,240,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda Pro,245,8000,0.031,7200,3.5,SATA 6.0 Gb/s
Crucial BX300,94.99,480,0.198,SSD,2.5,SATA 6.0 Gb/s
Intel 760p,,128,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Plextor M9Pe,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung PM1633a,,15360,,SSD,2.5,SAS 12.0 Gb/s
Kingston UV500B,,480,,SSD,2.5,SATA 6.0 Gb/s
Intel Optane 905P,,1500,,SSD,2.5,U.2
TCSunBow X3,,480,,SSD,2.5,SATA 6.0 Gb/s
Intel 545s,,128,,SSD,2.5,SATA 6.0 Gb/s
Seagate EXOS Enterprise,148.56,1000,0.149,7200,2.5,SAS 12.0 Gb/s
Seagate Enterprise Capacity,698,8000,0.087,7200,3.5,SATA 6.0 Gb/s
Patriot Scorch,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X2
Silicon Power P34A80,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Inland Professional,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X2
Seagate IronWolf NAS,,240,,SSD,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan,,250,,SSD,2.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,,12000,,7200,3.5,SATA 6.0 Gb/s
Seagate SkyHawk AI,267.95,10000,0.027,7200,3.5,SATA 6.0 Gb/s
Micron 2200,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung PM863,,960,,SSD,2.5,SATA 6.0 Gb/s
Patriot Viper Gaming VP4100,,2000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Kingston UV500,,1920,,SSD,2.5,SATA 6.0 Gb/s
Patriot VPR100 RGB,,1000,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Samsung PM871b,,512,,SSD,2.5,SATA 6.0 Gb/s
ADATA Falcon,,256,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Apacer AS350 PANTHER,,480,,SSD,2.5,SATA 6.0 Gb/s
Neo Forza NFS01,,240,,SSD,2.5,SATA 6.0 Gb/s
Acer SA100,,960,,SSD,2.5,SATA 6.0 Gb/s
Western Digital Black AN1500,,4000,,SSD,PCIe,PCIe x8
Western Digital SanDisk Extreme PRO,,2000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
Addlink S68,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Patriot P200,,1000,,SSD,2.5,SATA 6.0 Gb/s
Seagate FireCuda 510,199.99,500,0.4,SSD,M.2-2280,M.2 PCIe 3.0 X4
HP S700 Pro,134.33,1000,0.134,SSD,2.5,SATA 6.0 Gb/s
Western Digital SN520,,256,,SSD,M.2-2242,M.2 PCIe 3.0 X2
Western Digital SN530,,256,,SSD,M.2-2242,M.2 PCIe 3.0 X4
PNY CS1031,,512,,SSD,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM700,,256,,SSD,2.5,SATA 6.0 Gb/s
AITC Kingsman KP800,,1000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
AITC Kingsman KP800,,2000,,SSD,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44S,179.99,2000,0.09,SSD,M.2-2230,M.2 PCIe 4.0 X4
Toshiba X300 Pro,314.99,16000,0.02,7200,3.5,SATA 6.0 Gb/s
Western Digital PC SN740 Pyrite,,512,,SSD,M.2-2230,M.2 PCIe 4.0 X4
Western Digital VelociRaptor,218.73,150,1.458,10000,3.5,SATA 3.0 Gb/s
