name,price,size,color,rpm,airflow,noise_level,pwm
Corsair iCUE SP120 RGB ELITE 3-Pack,69.98,120,Black / White,"[400,1500]",,,TRUE
Noctua NF-A12x25 PWM chromax.black.swap,34.95,120,Black,"[450,2000]",60.09,22.6,TRUE
Lian Li Uni Fan SL-Infinity 3-Pack,84.99,120,Black,,,,TRUE
Lian Li Uni Fan SL-Infinity 3-Pack,81.5,120,White,,,,TRUE
ARCTIC P12 PST 5-Pack,29.99,120,Black,"[200,1800]",56.3,22.5,TRUE
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,159.99,120,Black,"[480,2400]",,,TRUE
Lian Li UNI FAN SL V2 3-Pack,79.99,120,Black / Silver,"[250,2000]",64.5,29.2,TRUE
Lian Li UNI FAN SL V2 3-Pack,82.99,120,White / Silver,"[250,2000]",64.5,29.2,TRUE
Lian Li Uni Fan SL-Infinity,29.99,120,Black,,,,TRUE
Thermalright TL-C12C-S 3-Pack,13.9,120,Black,,66.17,25.6,TRUE
Noctua A14 PWM chromax.black.swap,26.95,140,Multicolor,"[300,1500]",82.52,24.6,TRUE
Noctua A12x25 PWM,32.95,120,Brown,"[450,2000]",,,TRUE
ARCTIC P12,9.99,120,Black,"[200,1800]",56.3,,TRUE
Lian Li Uni Fan SL-Infinity,29.99,120,White,,,,TRUE
Thermalright TL-C12C 3-Pack,12.9,120,Black,,66.17,25.6,TRUE
Corsair iCUE SP RGB ELITE 3-Pack,64.98,120,White,"[400,1500]",47.73,28,TRUE
Corsair iCUE SP120 RGB ELITE,19.98,120,Black / White,"[400,1500]",,,TRUE
be quiet! Pure Wings 2,9.9,120,Black,"[500,1500]",,20.2,TRUE
be quiet! Silent Wings Pro 4,24,120,Black,,83.9,36.9,TRUE
Noctua P12 redux-1700 PWM,15.95,120,Gray,"[450,1700]",70.75,25.1,TRUE
Corsair iCUE AF120 RGB ELITE 3-Pack,74.98,120,Black,"[550,2100]",,,TRUE
NZXT F120 RGB 3-Pack,77.33,120,White,"[500,1800]",,,TRUE
Deepcool FC120-3 IN 1 3-Pack,34.99,120,Black,"[500,1800]",61.91,28,TRUE
Thermalright TL-C12C-S 3-Pack,14.59,120,White,,66.17,25.6,TRUE
Lian Li UNI FAN SL V2,26.99,120,Black / Silver,"[250,2000]",64.5,29.2,TRUE
Noctua A14 PWM,23.95,140,Brown,"[300,1500]",,,TRUE
Corsair LL120 3-Pack,82.99,120,Black,"[600,1500]",43.25,24.8,TRUE
NZXT F120 RGB 3-Pack,,120,Black,"[500,1800]",,,TRUE
Lian Li Uni Fan SL-Infinity,29.99,140,Black,"[200,1600]",72.7,28,TRUE
ARCTIC P12 PST A-RGB 0dB 3-Pack,42.99,120,Black,,48.8,,TRUE
ARCTIC P12 Max,9.99,120,Black,"[200,3300]",,,TRUE
Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,156.99,120,White,"[480,2400]",,,TRUE
Noctua F12 industrialPPC-3000 PWM,27.95,120,Brown / Black,"[750,3000]",109.89,43.5,TRUE
Lian Li UNI FAN SL-INF Reverse Blade,29.99,120,White / Black,"[200,2100]",63.6,32,TRUE
ARCTIC P14 PST,11.51,140,Black,"[200,1700]",72.8,22.5,TRUE
Noctua A14 industrialPPC-3000 PWM,29.95,140,Brown / Black,"[800,3000]",158.5,41.3,TRUE
Lian Li UNI SL120 3-Pack,85.43,120,White,"[800,1900]",58.54,,TRUE
NZXT F120 RGB Core,21.99,120,Black,"[500,1800]",78.86,33.88,TRUE
be quiet! Silent Wings Pro 4,29.9,140,Black,,97.41,36.8,TRUE
Lian Li UNI FAN SL V2,20.83,120,White / Silver,"[250,2000]",64.5,29.2,TRUE
NZXT F120 RGB Core,,120,White,"[500,1800]",78.86,33.88,TRUE
Lian Li Uni Fan SL-Infinity,29.7,140,White,"[200,1600]",72.7,28,TRUE
Corsair LL120 3-Pack,82.86,120,White,,63,36,TRUE
ARCTIC P12 PST,10.49,120,White,"[200,1800]",56.3,,TRUE
Lian Li UNI FAN SL V2,24.99,140,Black / Silver,"[250,1600]",77.6,29,TRUE
Deepcool FK120 3-Pack,,120,,"[500,1850]",68.99,28,TRUE
Deepcool FC120 WHITE-3 IN 1 3-Pack,49.99,120,White,"[500,1800]",61.91,28,TRUE
Cooler Master MasterFan MF Halo 3-Pack,66.98,120,Black,"[650,1800]",47.2,,TRUE
Phanteks D30-120 3-Pack,89.99,120,Black,"[250,2000]",64.3,30.2,TRUE
Noctua F12 PWM,21.78,120,Brown,"[300,1500]",,,TRUE
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,139.99,140,Black,"[400,2000]",,,TRUE
NZXT F120 RGB DUO 3-Pack,93.99,120,Black,"[500,1800]",48.58,29,TRUE
Corsair iCUE ML RGB ELITE Premium 3-Pack,51.99,120,Black,"[450,2000]",,,TRUE
Lian Li UNI FAN SL-INF Reverse Blade,,120,White,"[200,2100]",63.6,32,TRUE
Noctua A12x15 PWM chromax.black.swap,26.95,120,Black / Multicolor,"[450,1850]",55.44,23.9,TRUE
Corsair iCUE QL120 3-Pack,118.99,120,Black,,41.8,26,TRUE
ARCTIC P14 PST 5-Pack,40.99,140,Black,"[200,1700]",72.8,22.5,TRUE
Phanteks PH-F120T30 3-Pack,86.98,120,Black / Gray,,67,27.3,TRUE
Lian Li UNI SL120 3-Pack,84.74,120,Black,"[800,1900]",58.54,,TRUE
Cooler Master SickleFlow 3-Pack,65.18,120,Black,"[650,1800]",62,,TRUE
Phanteks D30-120 Reversed 3-Pack,89.99,120,Black,"[250,2000]",61.5,31.8,TRUE
be quiet! Pure Wings 2,9.9,140,Black,"[400,1000]",61.2,19.8,TRUE
be quiet! Light Wings PWM high-speed 3-Pack,74.9,120,Black,,52.3,31,TRUE
Corsair iCUE AF120 RGB ELITE 3-Pack,89.99,120,White,"[550,2100]",,,TRUE
Lian Li UNI FAN AL120 V2 3-Pack,72.99,120,Black,"[250,2000]",77.3,28.7,TRUE
Corsair AF120 ELITE,19.98,120,Black,"[400,1850]",,31.5,TRUE
NZXT F120 RGB,30.99,120,White,"[500,1800]",,,TRUE
Phanteks D30-120 3-Pack,89.99,120,White,"[250,2000]",64.3,30.2,TRUE
Lian Li UNI FAN P28 3-Pack,59.89,120,Black,"[200,2600]",,,TRUE
Phanteks D30-120 Reversed 3-Pack,89.99,120,White,"[250,2000]",61.5,31.8,TRUE
Phanteks PH-F120T30,33.98,120,Black / Gray,,67,27.3,TRUE
ARCTIC P12 5-Pack,23.99,120,Black,,56.3,,FALSE
Noctua F12 PWM chromax.black.swap,24.75,120,Multicolor,"[300,1500]",54.97,22.4,TRUE
Cooler Master SickleFlow,19.07,120,Black,"[650,1800]",62,,TRUE
NZXT F140 RGB 2-Pack,63.99,140,Black,"[500,1800]",,,TRUE
ARCTIC P12,8.77,120,Black / Transparent,"[200,1800]",56.3,22.5,TRUE
Corsair LL120,24.99,120,Black,"[600,1500]",43.25,24.8,TRUE
Phanteks D30-120,33.98,120,Black,"[250,2000]",64.3,30.2,TRUE
NZXT F120P,20.99,120,Black,"[500,1800]",,,TRUE
NZXT F120 RGB DUO,32.99,120,Black,"[500,1800]",48.58,29,TRUE
ARCTIC P12 Slim PWM PST,9.49,120,Black,"[300,2100]",41.1,22.5,TRUE
Thermalright TL-C12C,6.59,120,Black,,66.17,25.6,TRUE
Asus TUF Gaming TF120 ARGB 3-Pack,42.99,120,Black / White,"[250,1900]",76,29,TRUE
Corsair iCUE SP RGB ELITE,24.99,120,White,"[400,1500]",47.73,28,TRUE
Corsair SP120 ELITE,14.99,120,Black,"[300,1300]",,,TRUE
ARCTIC P12 PST A-RGB 0dB,14.99,120,Black,,48.8,,TRUE
Fractal Design Silent R2,,120,White,,40.6,15,FALSE
Cooler Master SickleFlow,10.99,120,Black,"[650,1800]",62,,TRUE
Deepcool FC120,16.98,120,Black,"[500,1800]",,,TRUE
Corsair AF140L,4.99,140,Black / Gray,,67.43,,FALSE
ARCTIC P Slim PST 3-Pack,21.99,120,Black,"[300,2100]",42.1,22.5,TRUE
Noctua S12A PWM chromax.black.swap,22.9,120,Multicolor,"[300,1200]",63.27,17.8,TRUE
Noctua S12B redux-1200 PWM,14.95,120,Black / Gray,"[400,1200]",59.1,18.1,TRUE
Lian Li UNI FAN AL120 V2 3-Pack,74,120,White,"[250,2000]",77.3,28.7,TRUE
Corsair iCUE SP140 RGB ELITE 2-Pack,69.98,140,Black / White,"[405,1200]",,,TRUE
NZXT F120 RGB DUO 3-Pack,114,120,White,"[500,1800]",48.58,29,TRUE
Corsair AF120 (2018) 3-Pack,41.1,120,Black / White,,52,26,FALSE
Thermalright TL-C12RW-S V2,6.99,120,Black / White,,58,25.6,TRUE
Corsair iCUE QL120 3-Pack,105.99,120,White / Black,"[525,1500]",41.8,26,TRUE
NZXT F120 RGB,30.99,120,Black,"[500,1800]",,,TRUE
Lian Li UNI FAN SL V2,25.58,140,White / Silver,"[250,1600]",77.6,29,TRUE
NZXT AER RGB 2,,120,Black,"[500,1500]",,,TRUE
Noctua A12x15 PWM,21.95,120,Brown,"[450,1850]",,,TRUE
Noctua P14s redux-1500 PWM,16.95,140,Black / Gray,"[450,1500]",78.69,25.8,TRUE
ARCTIC P14 PWM PST A-RGB,17.96,140,Black,,,,TRUE
Phanteks D30-120,33.98,120,White,"[250,2000]",64.3,30.2,TRUE
Phanteks D30-120 Reversed,33.98,120,Black,"[250,2000]",61.5,31.8,TRUE
Lian Li UNI FAN AL120 V2,19.99,120,Black,"[250,2000]",77.3,28.7,TRUE
ARCTIC P12,8.49,120,Black,,56.3,,FALSE
be quiet! Silent Wings 4,19.89,140,Black,,51.3,13.6,TRUE
Cooler Master SickleFlow 120 ARGB 3 In 1 3-Pack,49.99,120,White,"[650,1800]",62,,TRUE
Cooler Master MasterFan MF Halo,19.98,120,Black,"[650,1800]",47.2,,TRUE
Thermalright TL-S12 X3 3-Pack,16.89,120,Black,,47.6,23.2,TRUE
NZXT F120Q,14.99,120,Black,"[500,1200]",,,TRUE
Noctua A8 PWM,16.95,80,Brown,"[450,2200]",,,TRUE
be quiet! Light Wings PWM high-speed 3-Pack,79.9,140,Black,,71.7,31,TRUE
Cooler Master MasterFan MF Halo 3-Pack,71.98,120,White,"[650,1800]",47.2,,TRUE
upHere T7SYC7 6-Pack,43.99,120,Black,"[600,1700]",,,TRUE
Thermalright TL-S12W X3 3-Pack,17.29,120,White,,47.6,23.2,TRUE
Lian Li UNI SL120,30.19,120,White,"[800,1900]",58.54,,TRUE
Noctua A9x14 HS-PWM chromax.Black.swap,21.95,92,Black / Multicolor,"[600,2500]",33.84,23.6,TRUE
Thermaltake SWAFAN EX12 ARGB 3-Pack,79.98,120,White,"[500,2000]",,,TRUE
Corsair iCUE AF140 RGB ELITE 2-Pack,74.98,140,Black,"[500,1700]",,,TRUE
Cooler Master SickleFlow,18.98,140,Black,"[650,1400]",67,,TRUE
Lian Li UNI FAN AL120 V2,19.99,120,White,"[250,2000]",77.3,28.7,TRUE
Thermaltake TOUGHFAN 2-Pack,26.99,140,Black,"[500,2000]",119.1,,TRUE
be quiet! Silent Wings 4,26.03,120,Black,,48.7,18.9,TRUE
Noctua P14s redux-1200 PWM,16.95,140,Black / Gray,"[350,1200]",64.92,19.6,TRUE
Corsair LL120,34.99,120,White,,63,36,TRUE
Lian Li ST120 3-Pack,39.99,120,Black,"[800,1900]",69.17,32,TRUE
Fractal Design Aspect 12 RGB PWM 3-Pack,54.49,120,Black,"[500,2000]",,,TRUE
Noctua F12 industrialPPC-2000 PWM,27.95,120,Brown / Black,"[450,2000]",71.69,29.7,TRUE
Lian Li ST120 3-Pack,39.3,120,White,"[800,1900]",69.17,32,TRUE
Corsair iCUE QL120,35.99,120,Black,"[525,1500]",41.8,26,TRUE
Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,139.99,140,White,"[400,2400]",,,TRUE
Razer Kunai Chroma 3-Pack,129.94,120,Black,"[500,2200]",,,TRUE
Phanteks PH-F120SK,12.99,120,Black / White,"[500,1500]",50,27,TRUE
Lian Li UNI FAN P28 3-Pack,58.79,120,White,"[200,2600]",,,TRUE
ARCTIC P14 PST,12.54,140,White,"[200,1700]",72.8,22.5,TRUE
NZXT F140 RGB,26.99,140,Black,"[500,1800]",,,TRUE
Phanteks M25-120 PWM D-RGB 3-Pack,42.98,120,Black,"[500,2000]",84.26,35.7,TRUE
Phanteks PH-F120SK 3-Pack,32.49,120,Black / White,"[500,1500]",50,27,TRUE
NZXT Aer F,7.99,140,Black,,,,TRUE
Cooler Master SickleFlow 120 ARGB,22.99,120,White,"[650,1800]",62,,TRUE
be quiet! Silent Wings 4,19.89,120,Black,,76.7,,TRUE
ARCTIC P12 PST CO,11.03,120,Black,"[200,1800]",56.3,,TRUE
BGears b-Blaster,28.98,140,Black,,308,70,FALSE
Gigabyte AORUS 120 ARGB,19.98,120,Black,"[800,1700]",,,TRUE
Noctua A20 PWM chromax.black.swap,36.95,200,Black / Multicolor,"[350,800]",86.46,18.1,TRUE
be quiet! Light Wings PWM high-speed,24.9,120,Black,,52.3,31,TRUE
NZXT F RGB Core 2-Pack,68.33,140,Black,"[500,1800]",,,TRUE
Antec Prizm 5+C 5-Pack,49.99,120,Black,,45.03,32.6,TRUE
ID-COOLING ZF-12025 Pastel,12.99,120,Pink,"[900,2000]",55.2,,TRUE
Lian Li Uni Fan SL 2-Pack,68.67,140,White,"[500,1500]",70.5,30,TRUE
Thermalright TL-S12W,7.59,120,White,,47.6,23.2,TRUE
Fractal Design Aspect 12 RGB PWM,22.99,120,Black,"[500,2000]",,,TRUE
Asus TUF Gaming TF120 ARGB,12.99,120,Black / White,"[250,1900]",76,29,TRUE
EK Vardar EVO 120ER,21.85,120,Black / White,"[500,2200]",,33.5,TRUE
Thermaltake TOUGHFAN 2-Pack,29.99,120,Black,"[500,2000]",58.35,22.3,TRUE
be quiet! Pure Wings 2,9.9,120,Black,,65.51,36.9,TRUE
ID-COOLING XF-12025-ARGB-TRIO 3-Pack,24.99,120,Black / White,"[700,1500]",62,,TRUE
Lian Li UNI SL120,29.44,120,Black,"[800,1900]",58.54,,TRUE
ARCTIC P12 PWM PST A-RGB 0dB 3-Pack,,120,White / Gray,,48.8,,TRUE
Noctua R8 redux-1800 PWM,12.95,80,Black / Gray,"[325,1800]",31.37,17.1,TRUE
Phanteks D30-120 Reversed,,120,White,"[250,2000]",61.5,31.8,TRUE
Antec Fusion 120 ARGB White 5-Pack,39.99,120,White,"[600,2000]",57.93,,TRUE
Phanteks M25-120 PWM D-RGB 3-Pack,44.98,120,White,"[500,2000]",84.26,35.7,TRUE
Corsair iCUE AF120 RGB SLIM,27.99,120,Black,"[600,2000]",,27.5,TRUE
Lian Li UNI FAN AL120 3-Pack,110.03,120,Black,"[800,1900]",64.5,,TRUE
ID-COOLING ZF,16.98,120,Pink / White,"[900,2000]",,,TRUE
be quiet! Light Wings PWM 3-Pack,79.9,120,Black,,41.51,20.6,TRUE
Lian Li UNI FAN AL140 V2,30.99,140,Black,"[250,1600]",81.3,26.8,TRUE
Phanteks M25-120 PWM 3-Pack,32.98,120,Black,"[500,2000]",84.26,35.7,TRUE
Lian Li Uni Fan SL 2-Pack,99,140,Black,"[500,1500]",70.5,30,TRUE
ARCTIC P14 PWM PST A-RGB 3-Pack,49.99,140,Black,,,,TRUE
NZXT F120Q,24.98,120,White,"[500,1200]",,,TRUE
Corsair iCUE SP140 RGB ELITE,29.99,140,Black / White,"[450,1200]",,,TRUE
NZXT F140 RGB 2-Pack,66.98,140,White,"[500,1800]",,,TRUE
Thermalright TL-S12,6.99,120,Black,,47.6,23.2,TRUE
Corsair LL140 2-Pack,85.99,140,Black,"[600,1300]",51.5,25,TRUE
NZXT AER RGB 2,,140,Black,"[500,1500]",,,TRUE
Lian Li UNI FAN P28,18.98,120,Black,"[200,2600]",,,TRUE
ARCTIC F12 PST 5-Pack,29.99,120,Black,"[230,1350]",53,22.5,TRUE
Noctua A14 industrialPPC-2000 PWM,29.95,140,Brown / Black,"[500,2000]",107.41,31.5,TRUE
Noctua S12A PWM,21.95,120,Brown,"[300,1200]",,,TRUE
NZXT F RGB Core,21.99,140,Black,"[500,1800]",,,TRUE
Asus ROG STRIX XF,16.98,120,Black,,62.5,22.5,TRUE
Noctua A8 PWM chromax.black.swap,23.63,80,Black / Multicolor,"[450,2200]",32.67,17.7,TRUE
Thermalright TL-C12B-S V3,8.99,120,Black,,66.17,25.6,TRUE
Noctua A9 PWM chromax.black.swap,27.96,92,Black / Multicolor,"[400,2000]",46.44,22.8,TRUE
upHere NT1207 5-Pack,37.99,120,White,"[600,1800]",,,TRUE
Lian Li UNI FAN AL360 3-Pack,69.98,120,White,"[800,1900]",64.5,,TRUE
Phanteks M25-140 PWM D-RGB,21.43,140,Black,"[500,1800]",104.62,36.57,TRUE
Thermaltake SWAFAN EX12 RGB 3-Pack,89.99,120,Black,"[500,2000]",,,FALSE
Thermaltake SWAFAN EX12 RGB 3-Pack,95.99,120,White,"[500,2000]",,,FALSE
ARCTIC F12 PST,9.5,120,Black,"[230,1350]",53,22.5,TRUE
Thermalright TL-C12CW,7.99,120,White,,66.17,25.6,TRUE
be quiet! Light Wings 3-Pack,74.9,120,White,,52.3,31,TRUE
be quiet! Light Wings PWM high-speed,24.9,140,Black,,71.7,31,TRUE
Cooler Master MasterFan MF Halo,20.99,120,White,"[650,1800]",47.2,,TRUE
Deepcool XFAN,,120,Black,,44.71,26,FALSE
Phanteks M25-140 PWM 3-Pack,29.48,140,Black,"[500,1800]",104.62,36.57,TRUE
Cooler Master MasterFan MF Halo,33.75,140,Black / White,"[650,1500]",55,,TRUE
NZXT F RGB Core 2-Pack,69.98,140,White,"[500,1800]",,,TRUE
NZXT AER RGB 2,24.99,120,White,"[500,1500]",,,TRUE
Thermalright TL-B12 EXTREM,15.92,120,Black / Red,,112,40.5,TRUE
Corsair AF120 SLIM,22.99,120,Black,"[600,2000]",,,TRUE
EK Loop Fan FPT 120 D-RGB,33.24,120,Black,"[550,2300]",77,36,TRUE
Fractal Design Aspect 14 PWM,29.99,140,Black,"[500,1700]",,,TRUE
Nexus DF1209SL-3PWM,3.99,92,Clear,,43.5,15.8,TRUE
Noctua A20 PWM,32.95,200,Brown,"[350,800]",,,TRUE
PC Cooler Moonlight 5-Pack,49.99,120,Black,"[1000,1800]",54,,TRUE
Corsair HD120 3-Pack,,120,Black / White,"[800,1725]",54.4,,TRUE
Asus TUF GAMING TF120 ARGB White 3in1 3-Pack,47.99,120,White,"[250,1900]",76,29,TRUE
ARCTIC P14,10.98,140,Black,,72.8,22.5,FALSE
ARCTIC P12 PST,,120,Black / Translucent Black,"[200,1800]",56.3,,TRUE
Antec Storm T3 3-Pack,35.99,120,Black,"[600,2200]",,36.99,TRUE
Corsair iCUE AF140 RGB ELITE 2-Pack,74.98,140,White,"[500,1700]",,,TRUE
NZXT F120 RGB DUO,32.99,120,White,"[500,1800]",48.58,29,TRUE
be quiet! Light Wings PWM 3-Pack,79.9,140,Black,,56,23.3,TRUE
Thermaltake SWAFAN EX12 ARGB 3-Pack,81.98,120,Black,"[500,2000]",,,TRUE
Lian Li UNI FAN AL140 V2,27.99,140,White,"[250,1600]",81.3,26.8,TRUE
ARCTIC P12 PWM PST A-RGB 0dB,15.49,120,White / Gray,,48.8,,TRUE
Thermaltake Pure ARGB TT Premium Edition 3-Pack,43.99,120,Black,"[500,1500]",56.45,25.8,TRUE
ARCTIC P14 PST CO,12.62,140,Black,"[200,1700]",72.8,22.5,TRUE
Noctua A9 PWM,18.95,92,Brown,"[400,2000]",,,TRUE
NZXT F140 RGB,26.99,140,White,"[500,1800]",,,TRUE
ID-COOLING TF-12025-SW,12.99,120,White,"[700,1800]",76.16,,TRUE
Deepcool CF120 Plus 3-Pack,39.35,120,Black / White,"[500,1800]",52.5,28.8,TRUE
be quiet! Silent Wings 3,26.02,120,Black,,50.5,16.4,TRUE
NZXT F140Q,20.68,140,Black,"[500,1200]",,,TRUE
Noctua A15 HS-PWM chromax.black.swap,28.95,140,Multicolor,"[300,1500]",82.52,24.6,TRUE
NZXT F120P,24.98,120,White,"[500,1800]",,,TRUE
Corsair AF120 ELITE,19.98,120,White / Gray,"[400,1850]",,31.5,TRUE
Noctua A14 industrialPPC-2000 IP67 PWM,31.95,140,Brown / Black,"[500,2000]",107.41,31.5,TRUE
EK Loop Fan FPT 120,27.99,120,Black,"[550,2300]",77,36,TRUE
Corsair AF140 (2018) 2-Pack,24.99,140,Black / White,,62,26,FALSE
NZXT Aer P,7.99,140,Black,"[500,1800]",,,TRUE
Phanteks M25-140 PWM D-RGB 3-Pack,44.96,140,Black,"[500,1800]",104.62,36.57,TRUE
Fractal Design Dynamic X2 GP-14,21.49,140,Black,,68.4,18.9,FALSE
Fractal Design Aspect 14 RGB PWM 3-Pack,62.74,140,Black,"[500,1700]",,,TRUE
Noctua P12 redux-1300 PWM,14.95,120,Gray,"[300,1300]",54.32,19.8,TRUE
Corsair AF140 ELITE,24.99,140,Black,"[400,1600]",,31,TRUE
Phanteks M25-120 PWM D-RGB,20.48,120,Black,"[500,2000]",84.26,35.7,TRUE
Corsair HD140,92.58,140,Black / White,"[600,1350]",74,,TRUE
Corsair ML120 2-Pack,,120,White / Black,"[400,2400]",,,TRUE
be quiet! Pure Wings 2,9.9,140,Black,"[500,1600]",,37.3,TRUE
Corsair iCUE QL120,38.99,120,White / Black,"[525,1500]",41.8,26,TRUE
Antec Prizm 3+2+C 3-Pack,152.5,120,Black,,45.03,32.6,TRUE
Deepcool FK120,,120,Black,"[500,1850]",68.99,28,TRUE
Corsair LL140,35.99,140,Black,"[600,1300]",51.5,25,TRUE
Corsair iCUE AF120 RGB SLIM,29.99,120,White,"[600,2000]",,27.5,TRUE
NZXT Aer P,,120,Black,"[500,2000]",,,TRUE
In Win Sirius Loop ASL 3-Pack,28.8,120,Black,"[500,1800]",50,27,TRUE
Rosewill RFA-120-K,,120,Black,,74.48,29.28,FALSE
Fractal Design Aspect 12,33.19,120,Black,,32,18.3,FALSE
Noctua A15 PWM,23.94,140,Brown,"[900,1200]",,,TRUE
Corsair iCUE QL140 2-Pack,93.99,140,Black,,50.2,26,TRUE
Noctua A4x20 PWM,14.95,40,Brown,"[1200,5000]",,,TRUE
Corsair SP120 High Performance,129.5,120,White / Black,,52,26,TRUE
be quiet! Pure Wings 2,9.9,120,Black,,51.4,19.2,FALSE
NZXT AER RGB 2,32.99,140,White,"[500,1500]",,,TRUE
Corsair iCUE ML RGB ELITE Premium,,120,Black,"[450,2000]",,,TRUE
be quiet! Silent Wings 4,19.89,140,Black,,78.4,29.3,TRUE
NZXT F140 RGB DUO 2-Pack,75.98,140,Black,"[500,1800]",84.75,36,TRUE
NZXT F RGB Core,21.99,140,White,"[500,1800]",,,TRUE
Scythe Kaze Flex 120,12.95,120,Black,"[300,1500]",,,TRUE
Corsair iCUE ML120 RGB ELITE Premium 3-Pack,89.99,120,White / Gray,"[450,2000]",,,TRUE
ARCTIC BioniX F120,12.22,120,Black / White,"[200,1800]",69,24.4,TRUE
be quiet! Pure Wings 2,9.9,140,Black,,61.2,18.8,FALSE
Fractal Design Aspect 12 PWM,,120,Black,"[500,2000]",,,TRUE
Thermaltake Pure Plus RGB TT Premium Edition 3-Pack,39.99,140,Black,"[500,1400]",70.32,30.4,TRUE
ARCTIC P12 PST,10.44,120,White / Transparent,"[200,1800]",56.3,,TRUE
be quiet! Pure Wings 2,9.9,92,Black,"[500,1900]",33.15,19.6,TRUE
ARCTIC P14 Slim PWM PST,12.25,140,Black,"[150,1800]",52,,TRUE
Cooler Master SickleFlow ARGB,32.98,200,Black / Translucent White,,,,TRUE
ARCTIC BioniX P120,12.32,120,White / Black,"[200,2100]",67.56,,TRUE
Lian Li UNI FAN P28,18.98,120,White,"[200,2600]",,,TRUE
be quiet! Light Wings PWM,24.9,140,Black,,56,23.3,TRUE
Lian Li Uni Fan SL,22.99,140,White,"[500,1500]",70.5,30,TRUE
Fractal Design Aspect 14 RGB PWM,,140,Black,"[500,1700]",,,TRUE
Noctua NF-A6x25-PWM,14.95,60,Brown,"[550,3000]",,,TRUE
Corsair iCUE ML120 RGB ELITE Premium,18.99,120,White / Gray,"[450,2000]",,,TRUE
Thermaltake SWAFAN EX ARGB 3-Pack,89.99,140,Black,"[500,2000]",,,TRUE
Noctua F12 industrialPPC-2000 IP67 PWM,27.95,120,Brown / Black,"[450,2000]",71.69,29.7,TRUE
Cooler Master MOBIUS 120P ARGB,36.99,120,Black,,75.2,30,TRUE
Gigabyte AORUS 140 ARGB,,140,Black,"[800,1700]",,,TRUE
Delta Electronics AFB1212GHE-CF00,,120,Black,,240.96,62,FALSE
Cooler Master SickleFlow,17.98,120,Black,"[650,1800]",62,,TRUE
ARCTIC P8 Max,8.99,80,Black,"[500,5000]",40,,TRUE
Thermaltake Riing Plus TT 5-Pack,119.99,120,Black,"[500,1500]",48.34,24.7,TRUE
Phanteks FSK 3-Pack,38.24,140,Black / White,"[500,1500]",,,TRUE
Noctua A4x10,13.95,40,Brown,"[3700,4500]",,,FALSE
Cooler Master SickleFlow,17.98,120,Black,"[650,1800]",62,,TRUE
Cooler Master SickleFlow ARGB Reverse Edition,15.4,120,Black / White,"[650,1800]",62,,TRUE
Phanteks FSK,13.59,140,Black / White,"[500,1500]",,,TRUE
Corsair ML140 2-Pack,,140,White / Black,"[400,2000]",,,TRUE
Fractal Design Dynamic X2 GP-12,21.4,120,Black,,52.3,19.4,FALSE
Fractal Design Aspect 12 RGB,36.21,120,White,,32,18.3,FALSE
Kingwin CF-012LB,6.99,120,Black,,40,19,FALSE
Noctua S12B redux-700,13.95,120,Black / Gray,,33.49,6.8,FALSE
Cooler Master MasterFan MF140 Halo²,23.98,140,White,,59.51,27,TRUE
NZXT F140Q,16.98,140,White,"[500,1200]",,,TRUE
be quiet! Light Wings PWM,29.77,120,Black,,41.51,20.6,TRUE
Corsair ML Elite,19.98,120,White,"[450,2000]",,,TRUE
Noctua NF-A14 INDUSTRIALPPC-24V-3000 Q100 IP67 PWM,,140,Black / Brown,"[800,3000]",158.5,41.3,TRUE
Thermaltake Riing Trio 14 RGB TT Premium Edition 3-Pack,150.6,140,Black,"[500,1400]",60.68,26.5,TRUE
Lian Li Uni Fan AL,32.88,120,Black,"[800,1900]",64.5,,TRUE
be quiet! Pure Wings 2,12.99,80,Black,"[750,1900]",26.3,18.2,FALSE
Phanteks PH-F120SK,12.92,120,Black,"[500,1500]",50,27,TRUE
Cooler Master MasterFan MF120 Halo²,23.98,120,Black,,51.88,27,TRUE
Antec Storm T3 3-Pack,39.99,140,Black,"[600,1500]",,33.69,TRUE
MSI MAG MAX F12A-3 3-Pack,,120,Black,"[600,1500]",,,TRUE
NZXT F140P,16.98,140,Black,"[500,1500]",,,TRUE
Antec Fusion 120 ARGB 3-Pack,,120,Black,"[600,2000]",57.93,,TRUE
Corsair ML120 Pro,39.29,120,Black / Red,"[400,2400]",,,TRUE
Phanteks SK140,12.65,140,Black,"[500,1500]",84.5,36,TRUE
ARCTIC P12 Silent,9.49,120,Black,,24.1,,FALSE
Noctua A9x14,18.95,92,Brown,"[300,2200]",,,TRUE
Gelid Solutions Stella,8.49,120,Black,"[500,1600]",70,35,TRUE
Deepcool RF 2-Pack,39.99,140,Black,"[500,1200]",64.13,,TRUE
Corsair iCUE ML RGB ELITE Premium 2-Pack,,140,Black,"[400,1600]",,,TRUE
MagniumGear Skiron,6.74,140,Black / White,,85,29,TRUE
EK Loop Fan FPT 140 D-RGB,37.99,140,Black,"[600,2200]",118.01,44.56,TRUE
ARCTIC F8 PWM PST,8.99,80,Black,"[300,2000]",31,,TRUE
