name,price,interface,color
StarTech ST1000SPEX2L,23.31,PCIe x1,
Gigabyte GC-AQC113C 10G,,PCIe x4,White / Silver
Intel EXPI9404PTL,,PCIe x4,
Plugable USBC-E1000,18.95,USB Type-C 3.2 Gen 1,
Plugable USB3-E1000,16.95,USB Type-A 3.2 Gen 1,
D-Link DUB-1312,38.5,USB Type-A 3.2 Gen 1,Black
Belkin F2CU040btBLK,27.34,USB Type-C 3.2 Gen 1,
Belkin B2B145-BLK,26.87,USB Type-C 3.2 Gen 1,Black
Tripp Lite U436-000-GB,25.27,USB Type-C 3.2 Gen 1,Black
Edimax EN-9320TX-E,,PCIe x4,Silver / Green
StarTech ST3300U3S,48.17,USB Type-A 3.2 Gen 1,
StarTech USB31000SPTB,26.31,USB Type-A 3.2 Gen 1,
StarTech ST1000SPEXD3,99.99,PCIe x1,
Intel PWLA8391GT,25,PCI,
Intel EXPI9402PT,,PCIe x4,
Intel E1G44ET2,,PCIe x4,
StarTech USB31000S,27.72,USB Type-A 3.2 Gen 1,
Edimax EU-4306,,USB Type-A 3.2 Gen 1,
Supermicro SGP-i4,217.99,PCIe x4,Green / Silver
TP-Link TF-3239DL,19.98,PCI,
V7 V7UCRJ45-BLK-1N,,USB Type-C 3.2 Gen 1,Black
Lenovo 4X90E51405,29.96,USB Type-A 3.2 Gen 1,
Syba SY-PEX24030,22.65,PCIe x1,
Intel PWLA8391GTBLK,31.99,PCI,
Intel PWLA8492MT,96.99,PCI-X,
SIIG CN-GP2011-S1,,PCIe x1,
Edimax EN-9130TXL,,PCI,
Syba SY-ADA24027,,USB Type-A 2.0,
D-Link DUB-E100,,USB Type-A 2.0,
VisionTek Bigfoot Killer 2100,,PCIe x1,
Acer NP.OTH11.005,,USB Type-A 2.0,
StarTech USB31000SPTW,33.21,USB Type-A 3.2 Gen 1,
Syba SY-ADA24040,,USB Type-A 3.2 Gen 1,
SIIG JU-NE0621-S2,,USB Type-A 3.2 Gen 1,White
StarTech USB31000NDS,31.99,USB Type-A 3.2 Gen 1,
Intel E1G42ET,,PCIe x4,
StarTech ST100S,,PCI,
Supermicro AOC-SG-i2,,PCIe x4,
Intel PWLA8492MTBLK5,,PCI-X,
Syba SY-ADA24005,,USB Type-A 2.0,
StarTech ST1000SPEX,,PCIe x1,
SIIG CN-GP1021-S3,32.99,PCIe x1,
D-Link DFE530TX+,19.59,PCI,
D-Link DGE-530T,27.99,PCI,
Netgear GA311,49.99,PCI,
Rosewill RC-411,,PCIe x1,
Rosewill RNG-407-Dual,,PCIe x1,
Syba SD-ADA24032,,USB Type-A 3.2 Gen 1,
TP-Link TG-3269,,PCI,
Cisco N2XX-ABPCI03-M3=,,PCIe x4,
SIIG CN-GP1111-S1,,PCIe x4,
SIIG JU-NE0711-S1,30.22,USB Type-A 3.2 Gen 1,Black
Syba SY-PEX24056,,PCIe x4,Green / Black
StarTech ST1000SPEXD2,,PCIe x1,
Rosewill RC-400,,PCI,
Rosewill RC-404,,PCI,
Rosewill RNF-405U,,USB Type-A 2.0,
Rosewill RNG-406U,,USB Type-A 3.2 Gen 1,
Syba SY-ADA24024,,USB Type-A 2.0,
TRENDnet TE100-PCIWN,,PCI,
Intel PWLA8391GTBLK-1PK,,PCI,
Intel PWLA8391GTLBLK,60.6,PCI,
Intel PWLA8490MTBLK,,PCI-X,
Rosewill RC-400-LX,27.99,PCI,
SIIG CN-GP1011-S3,,PCI,
TRENDnet TEG-PCITXR,29.9,PCI,
Asus NX1101,,PCI,
Belkin F4U047-RS,,USB Type-A 2.0,
Rosewill RC-401-EX,,PCIe x1,
Rosewill RC-402,,PCI,
SIIG CN-GP4011-S1,,PCIe x4,
StarTech USB31000SW,24.14,USB Type-A 3.2 Gen 1,
SIIG JU-NE0511-S1,,USB Type-A 3.2 Gen 1,
Syba SI-ADA24037,,USB Type-A 3.2 Gen 1,
SIIG CN-GP4111-S1,,PCIe x4,
HP E0X95AA,,PCIe x1,Green
